"Literature_PID";"Dataset_PID";"DataCite_RelationType_of_Dataset_PID_record";"Scholix_link_available"
"10.5194/nhess-21-3599-2021";"10.5880/riesgos.2021.007";"NULL";"False"
"10.1016/j.epsl.2012.06.050";2411800373;"NULL";"False"
"10.1016/j.quascirev.2020.106715";3195009065;"NULL";"False"
"10.1039/c8sc01074a";"6frg";"NULL";"False"
"10.1016/j.ejmech.2019.05.049";"6r35";"NULL";"False"
"10.1038/nchembio.1312";"3c0n";"NULL";"False"
"10.1186/s13059-023-02919-8";"10.5281/zenodo.7563417";"NULL";"False"
"10.1038/s41422-021-00605-7";"7vhp";"NULL";"False"
"10.1016/j.molcel.2018.08.042";"10.17632/jktyjvy9hg";"NULL";"False"
"10.1186/s13073-017-0399-z";"10.6084/m9.figshare.c.3675778_d4";"NULL";"False"
"10.1074/jbc.m114.604397";"3q4t";"NULL";"False"
"10.1021/ic401516m";"10.25505/fiz.icsd.cc11pkr1";"NULL";"False"
"10.1029/2002pa000780";2582554733;"NULL";"False"
"10.1002/cbic.201700437";"10.13018/bmr30307";"NULL";"False"
"10.1186/s13059-016-1013-1";2775741846;"NULL";"False"
"10.1016/j.ejmech.2018.04.035";"5o1b";"NULL";"False"
"10.1002/cbic.202200180";"7u59";"NULL";"False"
"10.1016/j.marpol.2019.103521";"10.17632/8pbwp5yn63";"NULL";"False"
"10.1016/j.margeo.2011.08.003";2754238032;"NULL";"False"
"10.1007/s10811-015-0563-z";2401845653;"NULL";"False"
"10.1186/s10152-018-0513-7";2947018844;"NULL";"False"
"10.3289/geomar_rep_ns_8_2013";2728683026;"NULL";"False"
"10.1038/s41467-017-02230-8";"5n5b";"NULL";"False"
"10.1029/2008pa001636";2343201852;"NULL";"False"
"10.1016/j.neuron.2016.06.018";"5l5c";"NULL";"False"
"10.3204/pubdb-2022-07163";"10.17182/hepdata.115142.v1/t735";"NULL";"False"
"10.3204/pubdb-2022-04089";"10.17182/hepdata.114366.v1/t1";"NULL";"False"
"10.3204/pubdb-2019-05273";"10.17182/hepdata.91374.v2/t90";"NULL";"False"
"10.3204/pubdb-2019-01838";"10.5281/zenodo.1284241";"NULL";"False"
"10.3204/pubdb-2018-04200";"10.17182/hepdata.86140.v1/t10";"NULL";"False"
"10.3204/pubdb-2023-04967";"10.17182/hepdata.141286.v1/t13";"NULL";"False"
"10.3204/pubdb-2023-04967";"10.17182/hepdata.141286.v1/t30";"NULL";"False"
"10.1039/d1cc02192c";"7arr";"NULL";"False"
"10.3204/pubdb-2020-02638";"10.17182/hepdata.89413.v1/t62";"NULL";"False"
"10.3204/pubdb-2020-02638";"10.17182/hepdata.89413.v2/t88";"NULL";"False"
"10.3204/pubdb-2020-02638";"10.17182/hepdata.89413.v3/t12";"NULL";"False"
"10.3204/pubdb-2020-02638";"10.17182/hepdata.89413.v4/t145";"NULL";"False"
"10.3204/pubdb-2020-04657";"10.17182/hepdata.100163.v2/t13";"NULL";"False"
"10.3204/pubdb-2023-05107";"10.17182/hepdata.135972.v1/t54";"NULL";"False"
"10.3204/pubdb-2019-02153";"10.17182/hepdata.88348.v1/t1";"NULL";"False"
"10.3204/pubdb-2023-06486";"10.17182/hepdata.140341.v1/t43";"NULL";"False"
"10.3204/pubdb-2024-01961";"10.5517/ccdc.csd.cc2b51wg";"NULL";"False"
"10.3204/pubdb-2022-00645";"10.17182/hepdata.95747.v1/t2";"NULL";"False"
"10.3204/pubdb-2020-03256";"6xwg";"NULL";"False"
"10.3204/pubdb-2024-05339";"10.17182/hepdata.145758.v1/t11";"NULL";"False"
"10.3204/pubdb-2024-05339";"10.17182/hepdata.145758.v1/t52";"NULL";"False"
"10.3204/pubdb-2024-05339";"10.17182/hepdata.145758.v1/t78";"NULL";"False"
"10.3204/pubdb-2024-05526";"10.17182/hepdata.149530.v1/t28";"NULL";"False"
"10.3204/pubdb-2024-05526";"10.17182/hepdata.149530.v1/t34";"NULL";"False"
"10.3204/pubdb-2021-05473";"10.17182/hepdata.100351.v1/t4";"NULL";"False"
"10.3204/pubdb-2021-05473";"10.17182/hepdata.100351.v2/t44";"NULL";"False"
"10.3204/pubdb-2020-04586";"10.17182/hepdata.89874.v1/t34";"NULL";"False"
"10.3204/pubdb-2020-04586";"10.17182/hepdata.89874.v1/t38";"NULL";"False"
"10.3204/pubdb-2022-06635";"10.17182/hepdata.89937.v2/t11";"NULL";"False"
"10.3204/pubdb-2023-04964";"10.17182/hepdata.140801.v1/t17";"NULL";"False"
"10.3204/pubdb-2021-02954";"10.17182/hepdata.102954.v1/t6";"NULL";"False"
"10.3204/pubdb-2021-05276";"10.17182/hepdata.114866.v1/t36";"NULL";"False"
"10.3204/pubdb-2018-05790";"10.17182/hepdata.91404.v1/t16";"NULL";"False"
"10.3204/pubdb-2021-04126";"10.17182/hepdata.100161.v1/t3";"NULL";"False"
"10.3204/pubdb-2020-00997";"10.17182/hepdata.90837.v1/t15";"NULL";"False"
"10.3204/pubdb-2023-03996";"10.17182/hepdata.116034.v1/t124";"NULL";"False"
"10.3204/pubdb-2023-03996";"10.17182/hepdata.116034.v1/t9";"NULL";"False"
"10.3204/pubdb-2018-04656";"10.17182/hepdata.81626.v1/t38";"NULL";"False"
"10.3204/pubdb-2019-02068";"10.17182/hepdata.85768.v1/t28";"NULL";"False"
"10.3204/pubdb-2022-00643";"10.17182/hepdata.97041.v1/t251";"NULL";"False"
"10.3204/pubdb-2018-05481";"5drs";"NULL";"False"
"10.1074/jbc.m604865200";"2hak";"NULL";"False"
"10.3204/pubdb-2023-04067";"10.17182/hepdata.137762.v1/t29";"NULL";"False"
"10.3204/pubdb-2023-04067";"10.17182/hepdata.137762.v1/t87";"NULL";"False"
"10.3204/pubdb-2022-05075";"10.17182/hepdata.133620.v1/t15";"NULL";"False"
"10.3204/pubdb-2020-02646";"10.17182/hepdata.91160.v1/t159";"NULL";"False"
"10.3204/pubdb-2020-02646";"10.17182/hepdata.91160.v1/t376";"NULL";"False"
"10.3204/pubdb-2021-03986";"10.17182/hepdata.102798.v1/t16";"NULL";"False"
"10.3204/pubdb-2022-01108";"10.17182/hepdata.111308.v1/t1905";"NULL";"False"
"10.3204/pubdb-2022-01108";"10.17182/hepdata.111308.v1/t546";"NULL";"False"
"10.3204/pubdb-2019-04458";"10.17182/hepdata.91969.v1/t12";"NULL";"False"
"10.3204/pubdb-2022-07195";"10.17182/hepdata.129623.v1/t7";"NULL";"False"
"10.3204/pubdb-2020-04298";"6tdp";"NULL";"False"
"10.3204/pubdb-2018-02419";"10.17182/hepdata.78930.v1/t2";"NULL";"False"
"10.3204/pubdb-2017-13861";"10.17182/hepdata.79057.v1/t32";"NULL";"False"
"10.3204/pubdb-2022-00913";"10.17182/hepdata.115577.v2/t25";"NULL";"False"
"10.3204/pubdb-2022-00913";"10.17182/hepdata.115577.v2/t7";"NULL";"False"
"10.3204/pubdb-2024-05293";"10.17182/hepdata.131524.v1/t48";"NULL";"False"
"10.3204/pubdb-2024-05293";"10.17182/hepdata.131524.v1/t64";"NULL";"False"
"10.1016/j.chembiol.2009.04.010";"3hbr";"NULL";"False"
"10.3204/pubdb-2024-04723";"10.17182/hepdata.144178.v1/t29";"NULL";"False"
"10.3204/pubdb-2023-06880";"8b1g";"NULL";"False"
"10.3204/pubdb-2022-06457";"10.17182/hepdata.136029.v1/t117";"NULL";"False"
"10.3204/pubdb-2022-06457";"10.17182/hepdata.136029.v1/t120";"NULL";"False"
"10.3204/pubdb-2022-06457";"10.17182/hepdata.136029.v1/t14";"NULL";"False"
"10.1039/d3qo01389h";"10.5517/ccdc.csd.cc2gp3ny";"NULL";"False"
"10.3204/pubdb-2018-04172";"10.17182/hepdata.86517.v1/t15";"NULL";"False"
"10.1002/prot.22222";"3ca3";"NULL";"False"
"10.3204/pubdb-2021-03527";"10.17182/hepdata.101374.v1/t19";"NULL";"False"
"10.3204/pubdb-2018-00236";"10.17182/hepdata.85867.v1/t13";"NULL";"False"
"10.3204/pubdb-2022-07618";"10.17182/hepdata.135827.v2/t52";"NULL";"False"
"10.3204/pubdb-2022-05137";"10.17182/hepdata.128147.v1/t104";"NULL";"False"
"10.3204/pubdb-2022-05137";"10.17182/hepdata.128147.v1/t168";"NULL";"False"
"10.3204/pubdb-2022-05137";"10.17182/hepdata.128147.v1/t186";"NULL";"False"
"10.3204/pubdb-2018-04577";"10.17182/hepdata.81950.v1/t110";"NULL";"False"
"10.3204/pubdb-2024-00243";"10.5517/ccdc.csd.cc2g6z9z";"NULL";"False"
"10.3204/pubdb-2018-02190";"10.17182/hepdata.80166.v1/t2";"NULL";"False"
"10.3204/pubdb-2019-03399";"10.17182/hepdata.90834.v1/t12";"NULL";"False"
"10.3204/pubdb-2019-03399";"10.17182/hepdata.90834.v1/t40";"NULL";"False"
"10.3204/pubdb-2020-02315";"10.17182/hepdata.94261.v1/t1";"NULL";"False"
"10.3204/pubdb-2023-06437";"10.17182/hepdata.106058.v1/t16";"NULL";"False"
"10.3204/pubdb-2024-05180";"10.17182/hepdata.134245.v1/t28";"NULL";"False"
"10.3204/pubdb-2020-05208";"10.17182/hepdata.96028.v1/t4";"NULL";"False"
"10.3204/pubdb-2017-00948";"10.6084/m9.figshare.4579216";"NULL";"False"
"10.3204/pubdb-2018-03637";"10.17182/hepdata.84716.v2/t67";"NULL";"False"
"10.1016/j.jmb.2007.02.051";"2j6r";"NULL";"False"
"10.1039/d1dt04255f";"10.5517/ccdc.csd.cc29cjdm";"NULL";"False"
"10.3204/pubdb-2023-04064";"10.17182/hepdata.127994.v1/t59";"NULL";"False"
"10.3204/pubdb-2022-07347";"10.17182/hepdata.110164.v1/t74";"NULL";"False"
"10.3204/pubdb-2023-07702";"10.17182/hepdata.145855.v1/t2";"NULL";"False"
"10.3204/pubdb-2018-04175";"10.17182/hepdata.88380.v1/t3";"NULL";"False"
"10.3204/pubdb-2020-02512";"10.17182/hepdata.94786.v1/t6";"NULL";"False"
"10.3204/pubdb-2017-13812";"10.17182/hepdata.80580.v1/t31";"NULL";"False"
"10.3204/pubdb-2017-13812";"10.17182/hepdata.80580.v1/t6";"NULL";"False"
"10.3204/pubdb-2023-03828";"10.25505/fiz.icsd.cc2cyxs1";"NULL";"False"
"10.3204/pubdb-2020-00525";"10.6084/m9.figshare.c.4289636";"NULL";"False"
"10.3204/pubdb-2017-02342";"10.17182/hepdata.77480.v1/t13";"NULL";"False"
"10.3204/pubdb-2022-01341";"10.5517/ccdc.csd.cc29hmhy";"NULL";"False"
"10.3204/pubdb-2022-04626";"10.5517/ccdc.csd.cc2bg3sq";"NULL";"False"
"10.3204/pubdb-2022-00918";"10.17182/hepdata.114414.v1/t22";"NULL";"False"
"10.3204/pubdb-2016-06639";"10.17182/hepdata.76506.v1/t12";"NULL";"False"
"10.3204/pubdb-2019-03393";"10.17182/hepdata.90950.v1/t1";"NULL";"False"
"10.1038/s41598-021-95186-1";"7bmv";"NULL";"False"
"10.3204/pubdb-2017-13354";"10.17182/hepdata.79953.v2/t12";"NULL";"False"
"10.3204/pubdb-2023-00884";"10.25505/fiz.icsd.cc265cvm";"NULL";"False"
"10.3204/pubdb-2024-04722";"10.17182/hepdata.138416.v1/t49";"NULL";"False"
"10.3204/pubdb-2024-04722";"10.17182/hepdata.138416.v2/t81";"NULL";"False"
"10.3204/pubdb-2024-00879";"10.17182/hepdata.146645.v1/t57";"NULL";"False"
"10.3204/pubdb-2024-05292";"10.17182/hepdata.144918.v1/t25";"NULL";"False"
"10.3204/pubdb-2017-13352";"10.17182/hepdata.81944.v1/t1";"NULL";"False"
"10.3204/pubdb-2017-13352";"10.17182/hepdata.81944.v2/t11";"NULL";"False"
"10.3204/pubdb-2020-02556";"10.17182/hepdata.91126.v1/t24";"NULL";"False"
"10.3204/pubdb-2020-02556";"10.17182/hepdata.91126.v1/t7";"NULL";"False"
"10.1063/1.4931825";"5apd";"NULL";"False"
"10.3204/pubdb-2022-06923";"10.17182/hepdata.135454.v1/t17";"NULL";"False"
"10.3204/pubdb-2018-04564";"10.17182/hepdata.81709.v1/t150";"NULL";"False"
"10.3204/pubdb-2018-04564";"10.17182/hepdata.81709.v1/t75";"NULL";"False"
"10.3204/pubdb-2022-04899";"10.17182/hepdata.113657.v3/t60";"NULL";"False"
"10.3204/pubdb-2022-04899";"10.17182/hepdata.113657.v3/t64";"NULL";"False"
"10.3204/pubdb-2023-04415";"10.17182/hepdata.135073.v1/t47";"NULL";"False"
"10.3204/pubdb-2020-02663";"10.17182/hepdata.94218.v1/t15";"NULL";"False"
"10.3204/pubdb-2022-01358";"10.17182/hepdata.115022.v2/t15";"NULL";"False"
"10.3204/pubdb-2022-01358";"10.17182/hepdata.115022.v2/t18";"NULL";"False"
"10.3204/pubdb-2021-02362";"10.17182/hepdata.96389.v1/t1";"NULL";"False"
"10.3204/pubdb-2020-02514";"10.17182/hepdata.94383.v1/t4";"NULL";"False"
"10.3204/pubdb-2023-07701";"10.17182/hepdata.145164.v1/t19";"NULL";"False"
"10.3204/pubdb-2023-04818";"10.17182/hepdata.95928.v1/t91";"NULL";"False"
"10.3204/pubdb-2020-05214";"10.17182/hepdata.98796.v2/t15";"NULL";"False"
"10.3204/pubdb-2024-06155";"10.17182/hepdata.144072.v1/t20";"NULL";"False"
"10.3204/pubdb-2020-02264";"10.17182/hepdata.91059.v1/t1";"NULL";"False"
"10.3204/pubdb-2020-02264";"10.17182/hepdata.91059.v1/t8";"NULL";"False"
"10.1140/epjc/s2005-02471-x";"10.17182/hepdata.45524.v1/t3";"NULL";"False"
"10.3204/pubdb-2023-04805";"10.17182/hepdata.132484.v1/t11";"NULL";"False"
"10.3204/pubdb-2023-04805";"10.17182/hepdata.132484.v1/t3";"NULL";"False"
"10.3204/pubdb-2020-04623";"10.17182/hepdata.89325.v1/t215";"NULL";"False"
"10.3204/pubdb-2020-04623";"10.17182/hepdata.89325.v1/t67";"NULL";"False"
"10.3204/pubdb-2020-04623";"10.17182/hepdata.89325.v1/t98";"NULL";"False"
"10.3204/pubdb-2020-05211";"10.17182/hepdata.99806.v2/t128";"NULL";"False"
